source,target,type
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py::checkout_order,CONTAINS
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py::checkout_order,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py::save_order,CALLS
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py::checkout_order,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py::send_receipt_email,CALLS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\pricing.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py::record_event,CONTAINS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py::record_security_event,CONTAINS
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py::record_security_event,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py::record_event,CALLS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\pricing.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\pricing.py::calculate_subtotal,CONTAINS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\pricing.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\pricing.py::apply_campaign_discount,CONTAINS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\pricing.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\pricing.py::add_tax,CONTAINS
